Input_File,iRC1080-Chapman2.xml
Status,optimal
Solution,839.2043864356034
,
Reaction,Flux_Value
PRISM_solar_litho,0.0
PRISM_solar_exo,0.0
PRISM_incandescent_60W,0.0
PRISM_fluorescent_warm_18W,0.0
PRISM_fluorescent_cool_215W,0.0
PRISM_metal_halide,0.0
PRISM_high_pressure_sodium,0.0
PRISM_growth_room,0.0
PRISM_white_LED,4.59151
PRISM_red_LED_array_653nm,96.62811
PRISM_red_LED_674nm,3.653
PRISM_design_growth,10.0
EX_h_LPAREN_e_RPAREN_,2.3337929140202136
EX_h2o_LPAREN_e_RPAREN_,6.992096695001985
EX_pi_LPAREN_e_RPAREN_,-0.38678673737874203
EX_nh4_LPAREN_e_RPAREN_,-1.2983879132425984
EX_no3_LPAREN_e_RPAREN_,-0.37935074713133676
EX_so4_LPAREN_e_RPAREN_,-0.007225838813307739
EX_fe2_LPAREN_e_RPAREN_,0.0
EX_fe3_LPAREN_e_RPAREN_,0.0
EX_mg2_LPAREN_e_RPAREN_,-0.009998910805043178
EX_na1_LPAREN_e_RPAREN_,-4.026193403454862
EX_photonVis_LPAREN_e_RPAREN_,-114.87262000000001
EX_o2_LPAREN_e_RPAREN_,-10.0
EX_co2_LPAREN_e_RPAREN_,4.869781688053777
EX_hco3_LPAREN_e_RPAREN_,0.0
EX_starch_LPAREN_h_RPAREN_,0.0
EX_ac_LPAREN_e_RPAREN_,-10.0
EX_rib_DASH_D_LPAREN_e_RPAREN_,0.0
EX_no2_LPAREN_e_RPAREN_,0.0
EX_his_DASH_L_LPAREN_e_RPAREN_,0.0
EX_urea_LPAREN_e_RPAREN_,0.0
EX_ad_LPAREN_e_RPAREN_,0.0
EX_gua_LPAREN_e_RPAREN_,0.0
EX_ade_LPAREN_e_RPAREN_,0.0
EX_alltt_LPAREN_e_RPAREN_,0.0
EX_alltn_LPAREN_e_RPAREN_,0.0
EX_hxan_LPAREN_e_RPAREN_,0.0
EX_orn_LPAREN_e_RPAREN_,0.0
EX_gln_DASH_L_LPAREN_e_RPAREN_,0.0
EX_urate_LPAREN_e_RPAREN_,0.0
EX_leu_DASH_L_LPAREN_e_RPAREN_,0.0
EX_arg_DASH_L_LPAREN_e_RPAREN_,0.0
EX_so3_LPAREN_e_RPAREN_,0.0
EX_s_LPAREN_e_RPAREN_,0.0
EX_selt_LPAREN_e_RPAREN_,0.0
EX_etoh_LPAREN_e_RPAREN_,8.883121993614346e-14
EX_for_LPAREN_e_RPAREN_,0.0
EX_h2_LPAREN_e_RPAREN_,0.0
EX_glyclt_LPAREN_e_RPAREN_,0.0
EX_succ_LPAREN_e_RPAREN_,0.0
EX_lac_DASH_D_LPAREN_e_RPAREN_,0.0
EX_6mpur_LPAREN_e_RPAREN_,0.0
EX_tgua_LPAREN_e_RPAREN_,0.0
EX_tega_LPAREN_e_RPAREN_,0.0
EX_5flura_LPAREN_e_RPAREN_,0.0
EX_cital_LPAREN_e_RPAREN_,0.0
EX_lido_LPAREN_e_RPAREN_,0.0
PS_asn_DASH_L_LPAREN_c_RPAREN_,0.019678144990691333
CY_focytc_LPAREN_h_RPAREN_,0.37935074713133676
CY_focytb5_LPAREN_c_RPAREN_,0.13278465749876173
Biomass_Chlamy_auto,0.375467993793206
Biomass_Chlamy_mixo,0.0
Biomass_Chlamy_hetero,0.0
ATPM_LPAREN_NGAM_RPAREN_,0.183
DM_apotfen_LPAREN_h_RPAREN_,0.0
