Input_File,iRC1080-Chapman2.xml
Status,optimal
Solution,617.4890028922325
,
Reaction,Flux_Value
PRISM_solar_litho,0.0
PRISM_solar_exo,0.0
PRISM_incandescent_60W,0.0
PRISM_fluorescent_warm_18W,0.0
PRISM_fluorescent_cool_215W,0.0
PRISM_metal_halide,0.0
PRISM_high_pressure_sodium,0.0
PRISM_growth_room,0.0
PRISM_white_LED,4.59151
PRISM_red_LED_array_653nm,96.62811
PRISM_red_LED_674nm,3.653
PRISM_design_growth,10.0
EX_h_LPAREN_e_RPAREN_,0.4468364412409511
EX_h2o_LPAREN_e_RPAREN_,-4.021566671911049
EX_pi_LPAREN_e_RPAREN_,-0.14062052312504525
EX_nh4_LPAREN_e_RPAREN_,-0.45266867412304995
EX_no3_LPAREN_e_RPAREN_,-0.07701541354354902
EX_so4_LPAREN_e_RPAREN_,-0.005374883484422277
EX_fe2_LPAREN_e_RPAREN_,0.0
EX_fe3_LPAREN_e_RPAREN_,0.0
EX_mg2_LPAREN_e_RPAREN_,-0.003028164685917155
EX_na1_LPAREN_e_RPAREN_,-1.0455005219734685
EX_photonVis_LPAREN_e_RPAREN_,-114.87262000000001
EX_o2_LPAREN_e_RPAREN_,-1.49382449720279
EX_co2_LPAREN_e_RPAREN_,-5.426602985408842
EX_hco3_LPAREN_e_RPAREN_,0.0
EX_starch_LPAREN_h_RPAREN_,0.0
EX_ac_LPAREN_e_RPAREN_,0.0
EX_rib_DASH_D_LPAREN_e_RPAREN_,0.0
EX_no2_LPAREN_e_RPAREN_,0.0
EX_his_DASH_L_LPAREN_e_RPAREN_,0.0
EX_urea_LPAREN_e_RPAREN_,0.0
EX_ad_LPAREN_e_RPAREN_,0.0
EX_gua_LPAREN_e_RPAREN_,0.0
EX_ade_LPAREN_e_RPAREN_,0.0
EX_alltt_LPAREN_e_RPAREN_,0.0
EX_alltn_LPAREN_e_RPAREN_,0.0
EX_hxan_LPAREN_e_RPAREN_,0.0
EX_orn_LPAREN_e_RPAREN_,0.0
EX_gln_DASH_L_LPAREN_e_RPAREN_,0.0
EX_urate_LPAREN_e_RPAREN_,0.0
EX_leu_DASH_L_LPAREN_e_RPAREN_,0.0
EX_arg_DASH_L_LPAREN_e_RPAREN_,0.0
EX_so3_LPAREN_e_RPAREN_,0.0
EX_s_LPAREN_e_RPAREN_,0.0
EX_selt_LPAREN_e_RPAREN_,0.0
EX_etoh_LPAREN_e_RPAREN_,0.0
EX_for_LPAREN_e_RPAREN_,0.0
EX_h2_LPAREN_e_RPAREN_,0.0
EX_glyclt_LPAREN_e_RPAREN_,0.0
EX_succ_LPAREN_e_RPAREN_,0.0
EX_lac_DASH_D_LPAREN_e_RPAREN_,0.0
EX_6mpur_LPAREN_e_RPAREN_,0.0
EX_tgua_LPAREN_e_RPAREN_,0.0
EX_tega_LPAREN_e_RPAREN_,0.0
EX_5flura_LPAREN_e_RPAREN_,0.0
EX_cital_LPAREN_e_RPAREN_,0.0
EX_lido_LPAREN_e_RPAREN_,0.0
PS_asn_DASH_L_LPAREN_c_RPAREN_,0.006600413095522702
CY_focytc_LPAREN_h_RPAREN_,0.07701541354354902
CY_focytb5_LPAREN_c_RPAREN_,0.04827530573307676
Biomass_Chlamy_auto,0.0
Biomass_Chlamy_mixo,0.13650547084870118
Biomass_Chlamy_hetero,0.0
ATPM_LPAREN_NGAM_RPAREN_,0.183
DM_apotfen_LPAREN_h_RPAREN_,0.0
DM_asnglcnacglcnacman_DASH_LPAREN_DASH_man_DASH_RPAREN_DASH_man_LPAREN_c_RPAREN_,0.006600413095522703
DM_bhb_LPAREN_m_RPAREN_,0.0
DM_bhb_LPAREN_x_RPAREN_,0.0
DM_cat_LPAREN_c_RPAREN_,0.0
DM_ficytb5_LPAREN_c_RPAREN_,0.0
DM_glu5sa_LPAREN_m_RPAREN_,0.0
DM_hcarn_LPAREN_c_RPAREN_,0.0
DM_icit_LPAREN_h_RPAREN_,0.0
DM_leutrna_LPAREN_c_RPAREN_,0.0
DM_na1_LPAREN_c_RPAREN_,0.38543335235614273
DM_na1_LPAREN_h_RPAREN_,0.6600671696173249
DM_na1_LPAREN_m_RPAREN_,0.0
DM_na1_LPAREN_x_RPAREN_,0.0
DM_no_LPAREN_h_RPAREN_,0.07701541354354902
DM_o2D_LPAREN_u_RPAREN_,7.313634152337094
DM_photon298_LPAREN_c_RPAREN_,0.0010202505808692437
DM_photon437_LPAREN_u_RPAREN_,0.0
DM_photon438_LPAREN_u_RPAREN_,0.21082179428801215
DM_photon450_LPAREN_h_RPAREN_,0.12255926689105551
DM_photon490_LPAREN_s_RPAREN_,0.697233258577883
DM_photon646_LPAREN_h_RPAREN_,88.45237426192125
DM_photon673_LPAREN_u_RPAREN_,6.370835784312046
DM_photon680_LPAREN_u_RPAREN_,0.0
DM_udg_LPAREN_m_RPAREN_,0.0
DM_urdglyc_LPAREN_m_RPAREN_,0.0
1ACPCth,0.0
23DHMBth,0.0
