reaction,species,species_type,compartment,mass,role,stoich
R_3HAD100,G_R_3HAD100_generic_M_3hdecACP_h,G_R_3HAD100_generic_M_3hdecACP_h,h,203.32266,substrate,1
R_3HAD100,G_R_3HAD100_protein_M_tdec2eACP_h,G_R_3HAD100_protein_M_tdec2eACP_h,h,185.30738,product,1
R_3HAD120,G_R_3HAD120_generic_M_3hddecACP_h,G_R_3HAD120_generic_M_3hddecACP_h,h,231.37582,substrate,1
R_3HAD120,G_R_3HAD120_protein_M_tddec2eACP_h,G_R_3HAD120_protein_M_tddec2eACP_h,h,213.36054,product,1
R_3HAD140,G_R_3HAD140_protein_M_3hmrsACP_h,G_R_3HAD140_protein_M_3hmrsACP_h,h,259.42898,substrate,1
R_3HAD140,G_R_3HAD140_protein_M_tmrs2eACP_h,G_R_3HAD140_protein_M_tmrs2eACP_h,h,241.4137,product,1
R_3HAD160,G_R_3HAD160_protein_M_3hpalmACP_h,G_R_3HAD160_protein_M_3hpalmACP_h,h,287.48214,substrate,1
R_3HAD160,G_R_3HAD160_protein_M_tpalm2eACP_h,G_R_3HAD160_protein_M_tpalm2eACP_h,h,269.46686,product,1
R_3HAD180,G_R_3HAD180_protein_M_3hoctaACP_h,G_R_3HAD180_protein_M_3hoctaACP_h,h,315.5353,substrate,1
R_3HAD180,G_R_3HAD180_protein_M_toctd2eACP_h,G_R_3HAD180_protein_M_toctd2eACP_h,h,297.52002,product,1
R_3HAD181,G_R_3HAD181_generic_M_3hcvac11eACP_h,G_R_3HAD181_generic_M_3hcvac11eACP_h,h,313.51942,substrate,1
R_3HAD181,G_R_3HAD181_protein_M_t3c11vaceACP_h,G_R_3HAD181_protein_M_t3c11vaceACP_h,h,295.50414,product,1
R_3HAD40,G_R_3HAD40_generic_M_3hbutACP_h,G_R_3HAD40_generic_M_3hbutACP_h,h,119.16318,substrate,1
R_3HAD40,G_R_3HAD40_protein_M_but2eACP_h,G_R_3HAD40_protein_M_but2eACP_h,h,101.1479,product,1
R_3HAD60,G_R_3HAD60_generic_M_3hhexACP_h,G_R_3HAD60_generic_M_3hhexACP_h,h,147.21634,substrate,1
R_3HAD60,G_R_3HAD60_protein_M_thex2eACP_h,G_R_3HAD60_protein_M_thex2eACP_h,h,129.20106,product,1
R_3HAD80,G_R_3HAD80_protein_M_3hoctACP_h,G_R_3HAD80_protein_M_3hoctACP_h,h,175.2695,substrate,1
R_3HAD80,G_R_3HAD80_protein_M_toct2eACP_h,G_R_3HAD80_protein_M_toct2eACP_h,h,157.25422,product,1
R_3OAR100,G_R_3OAR100_generic_M_3hdecACP_h,G_R_3OAR100_generic_M_3hdecACP_h,h,203.32266,product,1
R_3OAR100,G_R_3OAR100_protein_M_3odecACP_h,G_R_3OAR100_protein_M_3odecACP_h,h,201.30678,substrate,1
R_3OAR120,G_R_3OAR120_generic_M_3hddecACP_h,G_R_3OAR120_generic_M_3hddecACP_h,h,231.37582,product,1
R_3OAR120,G_R_3OAR120_protein_M_3oddecACP_h,G_R_3OAR120_protein_M_3oddecACP_h,h,229.35994,substrate,1
R_3OAR140,G_R_3OAR140_protein_M_3hmrsACP_h,G_R_3OAR140_protein_M_3hmrsACP_h,h,259.42898,product,1
R_3OAR140,G_R_3OAR140_protein_M_3omrsACP_h,G_R_3OAR140_protein_M_3omrsACP_h,h,257.4131,substrate,1
R_3OAR160,G_R_3OAR160_protein_M_3hpalmACP_h,G_R_3OAR160_protein_M_3hpalmACP_h,h,287.48214,product,1
R_3OAR160,G_R_3OAR160_protein_M_3opalmACP_h,G_R_3OAR160_protein_M_3opalmACP_h,h,285.46626,substrate,1
R_3OAR180,G_R_3OAR180_protein_M_3hoctaACP_h,G_R_3OAR180_protein_M_3hoctaACP_h,h,315.5353,product,1
R_3OAR180,G_R_3OAR180_protein_M_3ooctdACP_h,G_R_3OAR180_protein_M_3ooctdACP_h,h,313.51942,substrate,1
R_3OAR181,G_R_3OAR181_generic_M_3hcvac11eACP_h,G_R_3OAR181_generic_M_3hcvac11eACP_h,h,313.51942,product,1
R_3OAR181,G_R_3OAR181_protein_M_3ocvac11eACP_h,G_R_3OAR181_protein_M_3ocvac11eACP_h,h,312.51148,substrate,1
R_3OAR40,G_R_3OAR40_generic_M_3hbutACP_h,G_R_3OAR40_generic_M_3hbutACP_h,h,119.16318,product,1
R_3OAR40,G_R_3OAR40_protein_M_actACP_h,G_R_3OAR40_protein_M_actACP_h,h,117.1473,substrate,1
R_3OAR60,G_R_3OAR60_generic_M_3hhexACP_h,G_R_3OAR60_generic_M_3hhexACP_h,h,147.21634,product,1
R_3OAR60,G_R_3OAR60_protein_M_3ohexACP_h,G_R_3OAR60_protein_M_3ohexACP_h,h,145.20046,substrate,1
R_3OAR80,G_R_3OAR80_protein_M_3hoctACP_h,G_R_3OAR80_protein_M_3hoctACP_h,h,175.2695,product,1
R_3OAR80,G_R_3OAR80_protein_M_3ooctACP_h,G_R_3OAR80_protein_M_3ooctACP_h,h,173.25362,substrate,1
R_3OAS100,G_R_3OAS100_generic_M_ocACP_h,G_R_3OAS100_generic_M_ocACP_h,h,159.2701,substrate,1
R_3OAS100,G_R_3OAS100_protein_M_3odecACP_h,G_R_3OAS100_protein_M_3odecACP_h,h,201.30678,product,1
R_3OAS100,G_R_3OAS100_protein_M_ACP_h,G_R_3OAS100_protein_M_ACP_h,h,33.07394,product,1
R_3OAS100,G_R_3OAS100_protein_M_malACP_h,G_R_3OAS100_protein_M_malACP_h,h,119.12012,substrate,1
R_3OAS120,G_R_3OAS120_protein_M_3oddecACP_h,G_R_3OAS120_protein_M_3oddecACP_h,h,229.35994,product,1
R_3OAS120,G_R_3OAS120_protein_M_ACP_h,G_R_3OAS120_protein_M_ACP_h,h,33.07394,product,1
R_3OAS120,G_R_3OAS120_protein_M_dcaACP_h,G_R_3OAS120_protein_M_dcaACP_h,h,187.32326,substrate,1
R_3OAS120,G_R_3OAS120_protein_M_malACP_h,G_R_3OAS120_protein_M_malACP_h,h,119.12012,substrate,1
R_3OAS140,G_R_3OAS140_protein_M_3omrsACP_h,G_R_3OAS140_protein_M_3omrsACP_h,h,257.4131,product,1
R_3OAS140,G_R_3OAS140_protein_M_ACP_h,G_R_3OAS140_protein_M_ACP_h,h,33.07394,product,1
R_3OAS140,G_R_3OAS140_protein_M_ddcaACP_h,G_R_3OAS140_protein_M_ddcaACP_h,h,215.37642,substrate,1
R_3OAS140,G_R_3OAS140_protein_M_malACP_h,G_R_3OAS140_protein_M_malACP_h,h,119.12012,substrate,1
R_3OAS160,G_R_3OAS160_protein_M_3opalmACP_h,G_R_3OAS160_protein_M_3opalmACP_h,h,285.46626,product,1
R_3OAS160,G_R_3OAS160_protein_M_ACP_h,G_R_3OAS160_protein_M_ACP_h,h,33.07394,product,1
R_3OAS160,G_R_3OAS160_protein_M_malACP_h,G_R_3OAS160_protein_M_malACP_h,h,119.12012,substrate,1
R_3OAS160,G_R_3OAS160_protein_M_myrsACP_h,G_R_3OAS160_protein_M_myrsACP_h,h,243.42958,substrate,1
R_3OAS180,G_R_3OAS180_protein_M_3ooctdACP_h,G_R_3OAS180_protein_M_3ooctdACP_h,h,313.51942,product,1
R_3OAS180,G_R_3OAS180_protein_M_ACP_h,G_R_3OAS180_protein_M_ACP_h,h,33.07394,product,1
R_3OAS180,G_R_3OAS180_protein_M_malACP_h,G_R_3OAS180_protein_M_malACP_h,h,119.12012,substrate,1
R_3OAS180,G_R_3OAS180_protein_M_palmACP_h,G_R_3OAS180_protein_M_palmACP_h,h,271.48274,substrate,1
